project,test,sha,callees,resolved,file
apache_hadoop,TestDFSIO.testWrite,14cd969b,2,FileSystem.delete;FileSystem.open,apache_hadoop__TestDFSIO__testWrite.java
apache_hadoop,TestRPCCompatibility.testVersion2ClientVersion2Server,5537c6b2,6,NetUtils.getConnectAddress;ProtocolProxy.getProxy;ProtocolProxy.isMethodSupported;RPC.Builder;RPC.getProtocolProxy;Server.start,apache_hadoop__TestRPCCompatibility__testVersion2ClientVersion2Server.java
apache_hadoop,TestUnderReplicatedBlocks.testSetrepIncWithUnderReplicatedBlocks,5537c6b2,3,BlockManager.addToInvalidates;ExtendedBlock.getLocalBlock;FsShell.run,apache_hadoop__TestUnderReplicatedBlocks__testSetrepIncWithUnderReplicatedBlocks.java
apache_pulsar,TopicReaderTest.testMultiReaderIsAbleToSeekWithTimeOnMiddleOfTopic,1fd44908,1,Producer.close,apache_pulsar__TopicReaderTest__testMultiReaderIsAbleToSeekWithTimeOnMiddleOfTopic.java
apache_pulsar,ZKSessionTest.testReacquireLocksAfterSessionLost,1fd44908,1,MetadataStoreExtended.create,apache_pulsar__ZKSessionTest__testReacquireLocksAfterSessionLost.java
apache_pulsar,BacklogQuotaManagerTest.testConsumerBacklogEvictionTimeQuotaWithEmptyLedger,1fd44908,2,BacklogQuota.builder;PulsarClient.builder,apache_pulsar__BacklogQuotaManagerTest__testConsumerBacklogEvictionTimeQuotaWithEmptyLedger.java
apache_pulsar,InactiveTopicDeleteTest.testTopicLevelInActiveTopicApi,1fd44908,1,TopicName.get,apache_pulsar__InactiveTopicDeleteTest__testTopicLevelInActiveTopicApi.java
apache_pulsar,KeySharedSubscriptionTest.testRemoveFirstConsumer,1fd44908,1,Consumer.close,apache_pulsar__KeySharedSubscriptionTest__testRemoveFirstConsumer.java
apache_pulsar,PersistentFailoverE2ETest.testSimpleConsumerEventsWithoutPartition,1fd44908,6,Consumer.close;FutureUtil.waitForAll;PersistentSubscription.getDispatcher;PersistentSubscription.getNumberOfEntriesInBacklog;PersistentTopic.getSubscription;Producer.close,apache_pulsar__PersistentFailoverE2ETest__testSimpleConsumerEventsWithoutPartition.java
apache_pulsar,ServerCnxTest.testDuplicateConcurrentSubscribeCommand,1fd44908,2,Commands.newSubscribe;ServerCnx.close,apache_pulsar__ServerCnxTest__testDuplicateConcurrentSubscribeCommand.java
apache_pulsar,AntiAffinityNamespaceGroupTest.testBrokerSelectionForAntiAffinityGroup,1fd44908,5,FailureDomain.builder;ModularLoadManagerImpl.selectBrokerForAssignment;NamespaceBundleFactory.getBundle;NamespaceName.get;PulsarService.getConfiguration,apache_pulsar__AntiAffinityNamespaceGroupTest__testBrokerSelectionForAntiAffinityGroup.java
apache_pulsar,NamespacesTest.testSubscribeRate,1fd44908,0,,apache_pulsar__NamespacesTest__testSubscribeRate.java
apache_pulsar,ManagedLedgerTest.testMaximumRolloverTime,1fd44908,6,ManagedLedgerConfig.setMaxEntriesPerLedger;ManagedLedgerConfig.setMaximumRolloverTime;ManagedLedgerConfig.setMinimumRolloverTime;ManagedLedgerImpl.addEntry;ManagedLedgerImpl.getLedgersInfoAsList;ManagedLedgerImpl.openCursor,apache_pulsar__ManagedLedgerTest__testMaximumRolloverTime.java
apache_pulsar,PrometheusMetricsTest.testPerTopicStats,1fd44908,3,Consumer.close;Producer.close;PrometheusMetricsGenerator.generate,apache_pulsar__PrometheusMetricsTest__testPerTopicStats.java
apache_pulsar,AvroSchemaTest.testNotAllowNullSchema,1fd44908,1,AvroSchema.of,apache_pulsar__AvroSchemaTest__testNotAllowNullSchema.java
apache_pulsar,ReplicatorTest.testReplicatorProducerName,1fd44908,1,TopicName.get,apache_pulsar__ReplicatorTest__testReplicatorProducerName.java
apache_pulsar,MessageIdTest.producerSendAsync,1fd44908,1,MessageIdImpl.compareTo,apache_pulsar__MessageIdTest__producerSendAsync.java
apache_pulsar,DiscoveryServiceTest.testBrokerDiscoveryRoundRobin,4f1bc772,3,BrokerDiscoveryProvider.getAvailableBrokers;BrokerDiscoveryProvider.nextBroker;ObjectMapperFactory.getThreadLocal,apache_pulsar__DiscoveryServiceTest__testBrokerDiscoveryRoundRobin.java
apache_pulsar,MessageIdTest.testChecksumReconnection,505e08a7,6,ProducerImpl.brokerChecksumSupportedVersion;ProducerImpl.cnx;ProducerImpl.getClientCnx;ProducerImpl.grabCnx;ProducerImpl.sendAsync;ProducerImpl.setClientCnx,apache_pulsar__MessageIdTest__testChecksumReconnection.java
cdapio_cdap,WorkflowHttpHandlerTest.testWorkflowForkFailure,37aadf29,0,,cdapio_cdap__WorkflowHttpHandlerTest__testWorkflowForkFailure.java
cdapio_cdap,PreviewDataPipelineTest.testLogicalTypePreviewRun,37aadf29,13,ApplicationId.getEntityName;DatasetProperties.of;IdentityTransform.getPlugin;MockSink.getPlugin;MockSource.getPlugin;MockSource.writeInput;PreviewStatus.getStatus;Schema.of;Schema.recordOf;Schema.toString;StructuredRecord.builder;StructuredRecord.get;Tasks.waitFor,cdapio_cdap__PreviewDataPipelineTest__testLogicalTypePreviewRun.java
cdapio_cdap,WorkflowClientTestRun.testWorkflowClient,37aadf29,13,ProgramClient.getProgramRuns;ProgramClient.start;ProgramId.run;RunIds.generate;WorkflowClient.deleteWorkflowLocalDatasets;WorkflowClient.getWorkflowLocalDatasets;WorkflowClient.getWorkflowNodeStates;WorkflowClient.getWorkflowToken;WorkflowClient.getWorkflowTokenAtNode;WorkflowNodeStateDetail.getNodeId;WorkflowNodeStateDetail.getNodeStatus;WorkflowTokenDetail.getTokenData;WorkflowTokenNodeDetail.getTokenDataAtNode,cdapio_cdap__WorkflowClientTestRun__testWorkflowClient.java
cdapio_cdap,TestFrameworkTestRun.testWorkerInstances,37aadf29,7,Bytes.stopKeyForPrefix;Bytes.toBytes;Bytes.toInt;KeyValueTable.read;KeyValueTable.scan;NamespaceId.dataset;Tasks.waitFor,cdapio_cdap__TestFrameworkTestRun__testWorkerInstances.java
cdapio_cdap,ProvisioningServiceTest.testCancelDeprovision,37aadf29,7,ProvisionerStore.getTaskInfo;ProvisioningService.cancelDeprovisionTask;ProvisioningService.deprovision;ProvisioningService.provision;ProvisioningTaskInfo.getProvisioningOp;Tasks.waitFor;TransactionRunners.run,cdapio_cdap__ProvisioningServiceTest__testCancelDeprovision.java
cdapio_cdap,MetadataSubscriberServiceTest.testSubscriber,37aadf29,8,EndPoint.of;InputField.of;LineageWriter.addAccess;ProgramId.run;ProgramRunId.getParent;RunIds.generate;Tasks.waitFor;UsageWriter.registerAll,cdapio_cdap__MetadataSubscriberServiceTest__testSubscriber.java
cdapio_cdap,WorkflowHttpHandlerTest.testWorkflowTokenPut,37aadf29,1,WorkflowTokenDetail.getTokenData,cdapio_cdap__WorkflowHttpHandlerTest__testWorkflowTokenPut.java
cdapio_cdap,MetadataHttpHandlerTestRun.testSystemMetadataRetrieval,37aadf29,13,ApplicationId.getEntityName;ApplicationId.mr;ApplicationId.service;ApplicationId.spark;ApplicationId.worker;ApplicationId.workflow;ArtifactSummary.getName;ArtifactSummary.getVersion;DatasetId.getEntityName;MetadataRecord.getProperties;SystemArguments.isProfileAllowed;TableProperties.builder;Tasks.waitFor,cdapio_cdap__MetadataHttpHandlerTestRun__testSystemMetadataRetrieval.java
cdapio_cdap,TestFrameworkTestRun.testAppWithServices,37aadf29,1,Tasks.waitFor,cdapio_cdap__TestFrameworkTestRun__testAppWithServices.java
neo4j_neo4j,RobustJobSchedulerWrapperTest.shouldBeAbleToCancelJob,1feb500d,2,RobustJobSchedulerWrapper.cancelAndWaitTermination;RobustJobSchedulerWrapper.scheduleRecurring,neo4j_neo4j__RobustJobSchedulerWrapperTest__shouldBeAbleToCancelJob.java
neo4j_neo4j,RobustJobSchedulerWrapperTest.recurringJobWithExceptionShouldKeepRunning,1feb500d,2,RobustJobSchedulerWrapper.cancelAndWaitTermination;RobustJobSchedulerWrapper.scheduleRecurring,neo4j_neo4j__RobustJobSchedulerWrapperTest__recurringJobWithExceptionShouldKeepRunning.java
neo4j_neo4j,RobustJobSchedulerWrapperTest.recurringJobWithErrorShouldStop,1feb500d,2,RobustJobSchedulerWrapper.cancelAndWaitTermination;RobustJobSchedulerWrapper.scheduleRecurring,neo4j_neo4j__RobustJobSchedulerWrapperTest__recurringJobWithErrorShouldStop.java
neo4j_neo4j,RaftMessageProcessingMetricTest.shouldBeAbleToUpdateAllMessageTypes,bfaea9cd,2,RaftMessageProcessingMetric.timer;RaftMessageProcessingMetric.updateTimer,neo4j_neo4j__RaftMessageProcessingMetricTest__shouldBeAbleToUpdateAllMessageTypes.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testFireObjectEvent,b19048b7,2,NamingEventCoordinator.addListener;NamingEventCoordinator.fireEvent,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testFireObjectEvent.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testLookupContextLink,b19048b7,1,NamingContext.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testLookupContextLink.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testCompositeBindingOps,b19048b7,2,Operations.createAddOperation;Operations.createWriteAttributeOperation,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testCompositeBindingOps.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testBindAndRetrieveObjectFactoryFromNamingContext,b19048b7,1,NamingContext.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testBindAndRetrieveObjectFactoryFromNamingContext.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testJavaContext,b19048b7,1,InitialContext.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testJavaContext.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testLookupWithContinuation,b19048b7,1,NamingContext.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testLookupWithContinuation.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testInitialFactory,b19048b7,1,InitialContext.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testInitialFactory.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testLookupLink,b19048b7,1,NamingContext.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testLookupLink.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testLookupReference,b19048b7,1,NamingContext.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testLookupReference.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testCompositeBindingUpdate,b19048b7,1,Operations.createWriteAttributeOperation,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testCompositeBindingUpdate.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testStoredContext,b19048b7,4,Name.toString;NamingContext.listBindings;NamingContext.lookup;ServiceBasedNamingStore.add,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testStoredContext.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testBindAndRetrieveObjectFactoryFromInitialContext,b19048b7,1,InitialContext.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testBindAndRetrieveObjectFactoryFromInitialContext.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testFireOneLevelEvent,b19048b7,2,NamingEventCoordinator.addListener;NamingEventCoordinator.fireEvent,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testFireOneLevelEvent.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testLookupWitResolveResult,b19048b7,1,NamingContext.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testLookupWitResolveResult.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testBindNested,b19048b7,3,WritableServiceBasedNamingStore.bind;WritableServiceBasedNamingStore.popOwner;WritableServiceBasedNamingStore.pushOwner,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testBindNested.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testLookupBindingUsingNestedContext,b19048b7,2,ServiceBasedNamingStore.add;ServiceBasedNamingStore.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testLookupBindingUsingNestedContext.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testBindReferenceable,b19048b7,2,NamingContext.bind;NamingContext.lookup,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testBindReferenceable.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testFireAllEvent,b19048b7,2,NamingEventCoordinator.addListener;NamingEventCoordinator.fireEvent,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testFireAllEvent.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testListWithContinuation,b19048b7,1,NamingContext.list,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testListWithContinuation.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testRebindReferenceable,b19048b7,3,NamingContext.bind;NamingContext.lookup;NamingContext.rebind,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testRebindReferenceable.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testFireSubTreeEvent,b19048b7,2,NamingEventCoordinator.addListener;NamingEventCoordinator.fireEvent,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testFireSubTreeEvent.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testRegisterURLSchemeHandler,b19048b7,3,InitialContext.addUrlContextFactory;InitialContext.lookup;InitialContext.removeUrlContextFactory,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testRegisterURLSchemeHandler.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testOnlyExternalContextAllowsCache,b19048b7,1,BindingType.forName,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testOnlyExternalContextAllowsCache.java
wildfly_wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993.testListBindingsWithContinuation,b19048b7,1,NamingContext.listBindings,wildfly_wildfly__b19048b72669fc0e96665b1b125dc1fda21f5993__testListBindingsWithContinuation.java
