pair_id,source,tier,repair_author,project_slug,project_url,module_path,test_class,test_method,fq_test,before_sha,before_sha_reachable,after_type,after_ref,source_category,idoft_status,flakebench_label,flakebench_category,label_confidence,label_candidates,mapping_note,build_env,java_version,reproflake_zip,reproflake_url,reproflake_fixed_sha,polluter,in_flakebench,flakebench_existing_label,notes
P0011,idoft,A,developer,activiti/activiti,https://github.com/Activiti/Activiti,activiti-engine,org.activiti.engine.test.cfg.RetryInterceptorTest,testRetryInterceptor,org.activiti.engine.test.cfg.RetryInterceptorTest.testRetryInterceptor,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,yes,pr,https://github.com/Activiti/Activiti/pull/3488,NIO,Accepted,test order dependency,4,medium,,"non-idempotent-outcome: test pollutes its own state; FlakeBench has no distinct label, closest is order dependency",none,,,,,,,,
P0012,idoft,A,developer,activiti/activiti,https://github.com/Activiti/Activiti,activiti-core/activiti-engine,org.activiti.standalone.validation.DisabledSchemaValidationTest,testDisableValidation,org.activiti.standalone.validation.DisabledSchemaValidationTest.testDisableValidation,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,yes,pr,https://github.com/Activiti/Activiti/pull/3487,NIO,Accepted,test order dependency,4,medium,,"non-idempotent-outcome: test pollutes its own state; FlakeBench has no distinct label, closest is order dependency",none,,,,,,,,
P0013,idoft,A,developer,adobe/aem-core-wcm-components,https://github.com/adobe/aem-core-wcm-components,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v1.PageImplTest,testPage,com.adobe.cq.wcm.core.components.internal.models.v1.PageImplTest.testPage,5f29cc86b17b6db36cc617805295eb951b6504a1,yes,pr,https://github.com/adobe/aem-core-wcm-components/pull/2894,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,none,,,,,,,,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52
P0014,idoft,A,developer,adobe/aem-core-wcm-components,https://github.com/adobe/aem-core-wcm-components,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v2.PageImplTest,testPage,com.adobe.cq.wcm.core.components.internal.models.v2.PageImplTest.testPage,5f29cc86b17b6db36cc617805295eb951b6504a1,yes,pr,https://github.com/adobe/aem-core-wcm-components/pull/2894,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,none,,,,,,,,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52
P0015,idoft,A,developer,adobe/aem-core-wcm-components,https://github.com/adobe/aem-core-wcm-components,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v2.PageImplTest,testPageWithDeprecatedCaconfig,com.adobe.cq.wcm.core.components.internal.models.v2.PageImplTest.testPageWithDeprecatedCaconfig,5f29cc86b17b6db36cc617805295eb951b6504a1,yes,pr,https://github.com/adobe/aem-core-wcm-components/pull/2894,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,none,,,,,,,,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52
P0016,idoft,A,developer,adobe/aem-core-wcm-components,https://github.com/adobe/aem-core-wcm-components,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v3.PageImplTest,testPage,com.adobe.cq.wcm.core.components.internal.models.v3.PageImplTest.testPage,5f29cc86b17b6db36cc617805295eb951b6504a1,yes,pr,https://github.com/adobe/aem-core-wcm-components/pull/2894,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,none,,,,,,,,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52
P0017,idoft,A,developer,adobe/aem-core-wcm-components,https://github.com/adobe/aem-core-wcm-components,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v3.PageImplTest,testPageWithDeprecatedCaconfig,com.adobe.cq.wcm.core.components.internal.models.v3.PageImplTest.testPageWithDeprecatedCaconfig,5f29cc86b17b6db36cc617805295eb951b6504a1,yes,pr,https://github.com/adobe/aem-core-wcm-components/pull/2894,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,none,,,,,,,,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52
P0018,idoft,A,developer,adobe/asset-share-commons,https://github.com/adobe/asset-share-commons,core,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsDownloadServletTest,doPost,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsDownloadServletTest.doPost,ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed,yes,pr,https://github.com/adobe/asset-share-commons/pull/672,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,asset-share-commons=core=79fcce8,https://zenodo.org/records/18474558/files/asset-share-commons=core=79fcce8.zip,a7b1dece99b3123934a5830b024c9a5d62411841,,,,issue: https://github.com/adobe/asset-share-commons/issues/673
P0019,idoft,A,developer,adobe/asset-share-commons,https://github.com/adobe/asset-share-commons,core,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest,getZipEntryName,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest.getZipEntryName,ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed,yes,pr,https://github.com/adobe/asset-share-commons/pull/672,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,asset-share-commons=core=79fcce8,https://zenodo.org/records/18474558/files/asset-share-commons=core=79fcce8.zip,a7b1dece99b3123934a5830b024c9a5d62411841,,,,issue: https://github.com/adobe/asset-share-commons/issues/673
P0020,idoft,A,developer,adobe/asset-share-commons,https://github.com/adobe/asset-share-commons,core,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest,getZipEntryName_GenerateUniqueZipFileNameEntry,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest.getZipEntryName_GenerateUniqueZipFileNameEntry,ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed,yes,pr,https://github.com/adobe/asset-share-commons/pull/672,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,asset-share-commons=core=79fcce8,https://zenodo.org/records/18474558/files/asset-share-commons=core=79fcce8.zip,a7b1dece99b3123934a5830b024c9a5d62411841,,,,issue: https://github.com/adobe/asset-share-commons/issues/673
P0021,idoft,A,developer,adobe/asset-share-commons,https://github.com/adobe/asset-share-commons,core,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest,pack,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest.pack,ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed,yes,pr,https://github.com/adobe/asset-share-commons/pull/672,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,asset-share-commons=core=79fcce8,https://zenodo.org/records/18474558/files/asset-share-commons=core=79fcce8.zip,a7b1dece99b3123934a5830b024c9a5d62411841,,,,issue: https://github.com/adobe/asset-share-commons/issues/673
P0022,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestAchDetailsSerialization,com.adyen.CheckoutTest.TestAchDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
P0023,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestAmazonPayDetailsSerialization,com.adyen.CheckoutTest.TestAmazonPayDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
P0024,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestAndroidPayDetails,com.adyen.CheckoutTest.TestAndroidPayDetails,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
P0025,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestApplePayDetailsSerialization,com.adyen.CheckoutTest.TestApplePayDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
P0026,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestBacsDirectDebitDetailsSerialization,com.adyen.CheckoutTest.TestBacsDirectDebitDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
P0027,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestBillDeskOnlineDetailsSerialization,com.adyen.CheckoutTest.TestBillDeskOnlineDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
P0028,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestBilldeskWalletDetailsSerialization,com.adyen.CheckoutTest.TestBilldeskWalletDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654
P0029,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestBlikDetailsSerialization,com.adyen.CheckoutTest.TestBlikDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
P0030,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestDateSerializers,com.adyen.CheckoutTest.TestDateSerializers,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
P0031,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestDokuDetailsSerialization,com.adyen.CheckoutTest.TestDokuDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
P0032,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestDotpayDetailsSerialization,com.adyen.CheckoutTest.TestDotpayDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
P0033,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestDragonpayDetailsSerialization,com.adyen.CheckoutTest.TestDragonpayDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0034,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestEcontextVoucherDetailsSerialization,com.adyen.CheckoutTest.TestEcontextVoucherDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0035,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestEncryptedPaymentMethodDetails,com.adyen.CheckoutTest.TestEncryptedPaymentMethodDetails,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0036,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestEntercashDetailsSerialization,com.adyen.CheckoutTest.TestEntercashDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0037,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestGenericIssuerPaymentMethodDetails,com.adyen.CheckoutTest.TestGenericIssuerPaymentMethodDetails,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0038,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestGiropayDetailsSerialization,com.adyen.CheckoutTest.TestGiropayDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0039,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestGooglePayDetailsSerialization,com.adyen.CheckoutTest.TestGooglePayDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0040,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestIdealDetailsSerialization,com.adyen.CheckoutTest.TestIdealDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0041,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestKlarnaDetailsSerialization,com.adyen.CheckoutTest.TestKlarnaDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0042,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestLianLianPayDetailsSerialization,com.adyen.CheckoutTest.TestLianLianPayDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0043,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestMasterPassDetailsSerialization,com.adyen.CheckoutTest.TestMasterPassDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0044,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestMbwayDetailsSerialization,com.adyen.CheckoutTest.TestMbwayDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
P0045,idoft,A,developer,adyen/adyen-java-api-library,https://github.com/Adyen/adyen-java-api-library,.,com.adyen.CheckoutTest,TestMobilePayDetailsSerialization,com.adyen.CheckoutTest.TestMobilePayDetailsSerialization,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,yes,pr,https://github.com/Adyen/adyen-java-api-library/pull/681,ID,Accepted,unordered collections,3,high,,NonDex-induced iteration order over hash containers or reflection,reproflake,11,adyen-java-api-library=.=b8a8de5,https://zenodo.org/records/18474558/files/adyen-java-api-library=.=b8a8de5.zip,11044025e694dc25f762484f6dcdbcfcbde0fa2f,,,,
