test,truth,pred,wrong,status,body_lines,static_mutable,beforeclass,per_test_reset,fixture_calls_test,shared_cluster,global_static_write,sibling_touch_static,helpers_called,helper_sorts,body_sorts,n_tests,evidence_location,evidence_detail
TestUnderReplicatedBlocks.testSetrepIncWithUnderReplicatedBlocks,async,async,False,ok,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,body / n-a,
TestDelegationTokenForProxyUser.testWebHdfsDoAs,OD,conc,True,ok,38.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,class fixture + static field,"5 static fields; @BeforeClass sets token lifetime, FileSystem.setDefaultUri, ProxyUsers.refresh"
TestMetricsSystemImpl.testInitFirstVerifyCallBacks,UC,async,True,ok,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,helper + production callee,helper indexes recs.get(0); MetricsSystemImpl uses Maps.newHashMap() and iterates values()
TestFairScheduler.testContinuousScheduling,async,async,False,UNRESOLVED,,,,,,,,,,,,,body / n-a,
TestWritableName.testSetName,OD,OD,False,ok,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,body / n-a,
TestPeerCache.testAddAndRetrieve,OD,async,True,ok,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,production callee (depth 1),same
TestDFSIO.testRead,OD,time,True,ok,5.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,6.0,class fixture + static field,"reads files written by testWrite() in @BeforeClass; static cluster, no @Before"
TestHftpFileSystem.testHftpCustomUriPortWithDefaultPorts,OD,OD,False,UNRESOLVED,,,,,,,,,,,,,body / n-a,
TestPeerCache.testExpiry,OD,async,True,ok,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,production callee (depth 1),same
TestSecurityUtil.testBuildTokenServiceSockAddr,OD,OD,False,ok,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,body / n-a,
TestDFSIO.testWrite,OD,time,True,ok,5.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,6.0,class fixture + static field,"@BeforeClass builds static MiniDFSCluster and calls testWrite(); comment ""required for other tests"""
